1a	 A competition must include a WCA Delegate and an organization team (consisting of one or more individuals with the following officials: judges, scramblers and score takers.	 Article_1
1b	 The organization team of a competition is responsible for logistics before, during, and after the competition.	 Article_1
1c	 The WCA Delegate is responsible for ensuring that the competition adheres to the WCA Regulations and any applicable WCA policies or requirements. The WCA Delegate may appoint other members of the organization team to carry out specific responsibilities on their behalf, but is ultimately accountable for how these responsibilities are carried out.	 Article_1
1e	 Each event must have one or more judges.	 Article_1
1e1	 A judge is responsible for executing the procedures of the event.	 Article_1
1e1a	 A judge may judge multiple competitors simultaneously at the discretion of the WCA Delegate, as long as the judge is able to ensure that all WCA Regulations are followed at all times.	 Article_1
1e2	 Every competitor must be available for judging. If required to judge, a competitor may be excused only for a legitimate reason (e.g. being unfamiliar with a puzzle, at the discretion of the WCA Delegate. Penalty: disqualification from an event, multiple events, or all events at that competition (see Regulation 2k.	 Article_1
1f	 Each event must have one or more scramblers. Exception: 3x3x3 Fewest Moves.	 Article_1
1f1	 A scrambler applies scramble sequences to prepare puzzles for attempts (see Regulation A2.	 Article_1
1f2	 Every competitor must be available for scrambling. If required to scramble, a competitor may be excused only for a legitimate reason (e.g. being unfamiliar with scrambling notation, at the discretion of the WCA Delegate. Penalty: disqualification from an event, multiple events, or all events at that competition (see Regulation 2k.	 Article_1
1g	 Each event must have one or more score takers.	 Article_1
1g1	 A score taker is responsible for compiling results.	 Article_1
1g2	 Changes to the result on a score sheet are only permitted at the discretion of the WCA Delegate.	 Article_1
1h	 Competitors in the same round of an event may compete as a single group or be divided into multiple groups.	 Article_1
1h1	 Scramblers and judges for a round must not scramble for/judge competitors in their own group before they have finished all of their attempts for the round. The following exceptions apply:	 Article_1
1h1a	 For 3x3x3 Fewest Moves, judges may judge competitors in their own group before they have finished their attempt (i.e. while they are competing.	 Article_1
1h1b	 For 3x3x3 Multi-Blind, competitors may judge other competitors in their own group after they have finished their attempt.	 Article_1
1j	 All officials may compete in the competition.	 Article_1
1k	 Officials may serve multiple roles (e.g. organization team, WCA Delegate, judge, score taker, scrambler.	 Article_1
2a	 Any person may compete in a WCA competition if they:	 Article_2
2a1	 Comply with WCA Regulations.	 Article_2
2a2	 Meet the competition requirements, which must be clearly announced before the competition.	 Article_2
2a3	 Are not suspended from participation by the WCA.	 Article_2
2a4	 Comply with all reasonable safety measures deemed necessary by the WCA Delegate, which must be clearly announced before the competition.	 Article_2
2b	 Competitors below the age of 18 must obtain consent from their parent(s/guardian(s to register and compete.	 Article_2
2c	 Competitors register by providing all information required by the organization team (including: name, country, date of birth, gender, contact information, selected events.	 Article_2
2c1	 A competitor is not eligible to compete without a completed registration, as determined by the organization team and the WCA Delegate.	 Article_2
2c2	 Returning competitors must provide personal information consistent with their WCA profile. If a competitor wishes to change or update their personal information between competitions (e.g. a change of country, name, or gender, they must contact the WCA Results Team either directly or through a WCA Delegate.	 Article_2
2d	 A competitor's name, country, gender, and competition results are considered public information. All other personal information is considered confidential, and must not be disclosed to outside organizations/persons without the consent of the competitor.	 Article_2
2e	 Competitors must represent a country of which they hold citizenship. The WCA Delegate should verify citizenship by means of documents or photos of documents (e.g. a passport at their first competition. If a competitor is found ineligible to represent the country under which they have registered, the competitor may be disqualified retroactively and/or suspended, at the discretion of the WCA Board.	 Article_2
2e1	 The eligible countries are defined by the WCA List of Recognized Countries.	 Article_2
2e2	 Competitors may change their country at any point between competitions (see Regulation 2c2, as long as it has been at least one year since any previous change.	 Article_2
2e2a	 Exception: If the competitor loses citizenship of the country which they were previously representing, they must change their country before or at their next competition.	 Article_2
2e2b	 Exception: If the competitor has acquired a new citizenship within the calendar year, they may change their country to their new citizenship before or at their next competition.	 Article_2
2e3	 Competitors who have no citizenship may compete as "Stateless".	 Article_2
2f	 Competitors must obey venue rules and conduct themselves in a considerate manner.	 Article_2
2g	 Competitors must remain quiet when inside the designated competition area. Talking is permitted, but must be kept at a reasonable level, and away from competitors who are actively competing.	 Article_2
2g3	 Competitors in a group in progress must not communicate with other competitors in the group about the scrambled states of the group, unless all such competitors are not eligible for any further attempts in the group. Penalty: disqualification of the competitor(s from the event, at the discretion of the WCA Delegate. Exception: For 3x3x3 Fewest Moves and 3x3x3 Multi-Blind, competitors that have finished their attempt may share and discuss the scramble sequence(s with other competitors in the group who have either finished their attempt or declined their attempt.	 Article_2
2g3a	 For rounds where results are being entered live, the organization team may enforce that competitors are not permitted to view the results entered from their group until they have completed their attempts.	 Article_2
2h	 Competitors must be appropriately dressed while in the competition venue. At the discretion of the WCA Delegate, competitors may be disqualified from the competition for inappropriate clothing.	 Article_2
2i	 While inspecting or solving, competitors must not use electronics (e.g. cell phones, ear buds, additional lighting apart from the Stackmat timer or stopwatch. Penalty: disqualification of the attempt (DNF. Any item which has any electronic component is considered electronic.	 Article_2
2i1	 Competitors may use non-electronic aids that do not give an unfair advantage, at the discretion of the WCA Delegate. This includes:	 Article_2
2i1a	 Medical/physical aids worn by the competitor (e.g. glasses, wrist brace. As an exception to Regulation 2i, medical aids may be electronic if the competitor does not have comfortable non-electronic alternatives (e.g. if the competitor has a personal hearing aid or pacemaker.	 Article_2
2i1b	 Earplugs and earmuffs (but not electronic headphones and earbuds.	 Article_2
2i1c	 Non-electronic hand warmers.	 Article_2
2i1d	 Food and drink.	 Article_2
2i2	 Competitors may use cameras and/or microphones at the solving station at the discretion of the WCA Delegate, but the following restrictions apply from the start of the attempt until the competitor stops the solve. Penalty for breaking a restriction: disqualification of the attempt (DNF.	 Article_2
2i2a	 Each camera monitor must be blank or out of sight of the competitor. Exception: if a visible active monitor is discovered, completed attempts need not be disqualified if the competitor did not receive assistance from the monitor, at the discretion of the WCA Delegate (see Regulation A5b, however the competitor must not be permitted to perform any further attempts with such a monitor.	 Article_2
2i2c	 The competitor must not press any buttons on these devices (e.g. for starting or stopping a recording.	 Article_2
2i4	 Competitors should turn off all cell phone notifications while competing to avoid disturbing the competition.	 Article_2
2j	 The WCA Delegate may disqualify a competitor from specific attempts and/or events.	 Article_2
2j1	 If a competitor is disqualified from an event for any reason, they are not eligible for any more attempts in the event.	 Article_2
2j1a	 If the competitor has already started at least one attempt in a round before being disqualified from it, the results of all remaining attempts in the event are recorded as DNF. If the competitor has started no attempts (i.e. has no results or only has DNS results, no results are recorded.	 Article_2
2j2	 Results from attempts that are completed when the disqualification is applied, must not be disqualified. Exception: cheating or defrauding (see Regulation 2k2a.	 Article_2
2j3	 Specific completed attempts may be disqualified under the circumstances described in Regulation 2k, only if the relevant incident occurred during the attempt.	 Article_2
2k	 At the discretion of the WCA Delegate, a competitor may be disqualified from specific attempts and/or events (a single event, multiple events, or all events if the competitor:	 Article_2
2k1	 Fails to check in or register in time for the competition.	 Article_2
2k2	 Is suspected of cheating or defrauding the officials during the competition.	 Article_2
2k2a	 The WCA Delegate may disqualify any suspected results.	 Article_2
2k3	 Behaves in a way that is unlawful/violent/indecent/unsafe, or intentionally damages venue facilities or personal property within the venue.	 Article_2
2k4	 Distracts or interferes with others during the competition.	 Article_2
2k5	 Fails to abide by WCA Regulations during the competition.	 Article_2
2k6	 Does not fulfill the event's requirements (e.g. not knowing how to solve the puzzle. A competitor should not compete with the expectation of a DNF result or an intentionally poor result.	 Article_2
2l	 A competitor may be disqualified immediately, or after a warning, depending on the nature and severity of the infraction.	 Article_2
2l1	 A disqualified competitor is not eligible for the refund of any expenses due to participating in the competition.	 Article_2
2n	 Competitors may verbally dispute a ruling to the WCA Delegate.	 Article_2
2n1	 Disputes are only permitted during the competition (see Regulation 9u, within 30 minutes of the disputed incident and before the start of any following rounds of the relevant event.	 Article_2
2n2	 The WCA Delegate must resolve the dispute before the start of the next round of the event.	 Article_2
2n3	 The competitor must accept all final rulings of the WCA Delegate. Penalty: disqualification from the competition.	 Article_2
2s	 Competitors with circumstances (e.g. disability that may prevent them from abiding by one or more WCA Regulations may request special accommodations from the WCA Delegate. Competitors requesting such accommodations should contact the organization team and WCA Delegate at least two weeks before the competition.	 Article_2
2s1	 Competitors whose circumstances result in it being impossible to follow regular competition procedures may have special accommodations. These cases should be brought up to the WCA Regulations Committee before being applied.	 Article_2
2t	 Each competitor must be familiar with and understand the WCA Regulations before the competition.	 Article_2
2u	 Competitors must be present and ready to compete when they are called to compete for an attempt. Penalty: disqualification from the event.	 Article_2
2u1	 Exception: A competitor who is not present in time for an individually scheduled attempt (e.g. a 3x3x3 Fewest Moves attempt, a 3x3x3 Multi-Blind attempt may be considered to have declined that attempt (DNS, at the discretion of the WCA Delegate.	 Article_2
2u2	 Exception: For rounds with a cumulative time limit, a competitor who arrives late may compete with a reduced cumulative time limit, at the discretion of the WCA Delegate.	 Article_2
3a	 Competitors are responsible for providing their puzzles for the competition.	 Article_3
3a1	 Competitors must be ready to submit their puzzles when they are called (see Regulation 2u.	 Article_3
3a2	 Puzzles must be fully operational, such that normal scrambling is possible.	 Article_3
3a3	 Polyhedral puzzles must use a color scheme with one unique color per face in the solved state. Each puzzle variation must have moves, states, and solutions functionally identical to the original puzzle.	 Article_3
3a4	 Puzzles must not have electronic components (e.g. Bluetooth or Wi-Fi capabilities, motors, sensors, lights. See Regulation 2i.	 Article_3
3d	 Puzzles must have colored parts, which define the color scheme of the puzzle and must be one and only one of the following: colored stickers, colored tiles, colored plastic, or painted/printed colors. All colored parts of a puzzle must be made of a similar material.	 Article_3
3d1	 For competitors with a medically documented visual disability, the following exceptions apply:	 Article_3
3d1a	 Blind competitors may use textured puzzles with different textures on different faces. Each face should have a distinct color, to aid in scrambling and judging.	 Article_3
3d1b	 Color blind competitors who cannot distinguish between the necessary number of colors may use colored parts with patterns, if it has been explicitly approved according to Regulation 2s. Patterns may come from stickers or be drawn.	 Article_3
3d2	 The colors of the colored parts must be solid, with one uniform color per face. Each color must be clearly distinct from the other colors.	 Article_3
3h	 Modifications that enhance the basic concept of a puzzle are not permitted. Modified versions of puzzles are permitted only if the modification does not make any additional information available to the competitor (e.g. orientation or identity of pieces, compared to an unmodified version of the same puzzle.	 Article_3
3h1	 "Pillowed" puzzles are permitted.	 Article_3
3h2	 Puzzles whose colored plastic is visible inside the puzzle (e.g. "stickerless" puzzles are permitted. This does not include the following puzzles:	 Article_3
3h2a	 Puzzles with transparent parts that can reveal more information about the state of the puzzle. Exception: An overlay sticker or a logo (see Regulation 3l.	 Article_3
3h3	 Any modifications to a puzzle that result in poor performance by a competitor are not grounds for additional attempts.	 Article_3
3h4	 For Clock, the following modifications are permitted:	 Article_3
3h4a	 Custom "inserts" (the same shape and size as the traditional paper inserts are permitted, at the discretion of the WCA Delegate. The inserts must have a clear indication of 12 o'clock that matches the original inserts.	 Article_3
3h4b	 Puzzle design customizations that do not give an unfair advantage may be permitted, at the discretion of the WCA Delegate (e.g. checkerboard pattern clocks, faces with a custom design, tape on the side of the Clock.	 Article_3
3h4c	 Customizations which distinguish pins from other pins of the same side are permitted, at the discretion of the WCA Delegate.	 Article_3
3h4d	 Logos anywhere on the puzzle, as long as the inner clock faces remain uncovered.	 Article_3
